Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2018","2018","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2019","2019","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1961","1961","ha","3000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1962","1962","ha","3000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1963","1963","ha","3000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1964","1964","ha","2000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1965","1965","ha","1500","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1966","1966","ha","1000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1967","1967","ha","1000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1968","1968","ha","1500","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1969","1969","ha","1500","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1970","1970","ha","1400","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1971","1971","ha","1000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1972","1972","ha","700","E","Estimated value"
