Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","3500","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","3760","I","Imputed value"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","3825","I","Imputed value"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","3000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","5000","T","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","5000","T","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","4000","T","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","1000","T","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","500","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","330","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","285","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","327","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","270","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","250","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","200","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","100","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","100","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","100","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","90","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","100","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","80","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","100","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","5","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1992","1992","hg/ha","429","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1993","1993","hg/ha","420","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1994","1994","hg/ha","426","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1995","1995","hg/ha","520","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1996","1996","hg/ha","468","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1997","1997","hg/ha","470","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1998","1998","hg/ha","528","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","1999","1999","hg/ha","500","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2000","2000","hg/ha","480","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2001","2001","hg/ha","364","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2002","2002","hg/ha","491","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2003","2003","hg/ha","948","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2004","2004","hg/ha","741","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2005","2005","hg/ha","1200","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2006","2006","hg/ha","500","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2007","2007","hg/ha","2000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2008","2008","hg/ha","1000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2009","2009","hg/ha","2000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2010","2010","hg/ha","1111","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2011","2011","hg/ha","1000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2012","2012","hg/ha","2500","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2013","2013","hg/ha","2000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01371","Almonds, in shell","2014","2014","hg/ha","16000","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1992","1992","tonnes","150","E","Estimated value"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1993","1993","tonnes","158","I","Imputed value"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1994","1994","tonnes","163","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1995","1995","tonnes","156","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1996","1996","tonnes","234","A","Official figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01371","Almonds, in shell","1997","1997","tonnes","235","A","Official figure"
