Ireland
Monthly weighted average prices of Raw Milk*
euro per 100 kg (excl. VAT, incl. quality)
Survey Date;2019;2020;2021;2022;;
January;34,28;34,67;35,64;46,03;;
February;34,38;34,86;37,2;47,59;;
March;32,63;31,66;37,1;48,95;;
April;31,66;30,01;36,61;51,28;;
May;31,47;30,59;37,49;53,61;;
June;31,95;31,76;37,39;55,45;;
July;31,08;32,83;37,2;57,78;;
August;31,95;33,89;39,23;59,73;;
September;34,48;36,61;42,44;64,29;;
October;36,61;39,14;46,52;68,47;;
November;37,29;39,14;48,65;69.25;;
December;36,52;37,49;48,46;;;
