"STATISTIC Label","Year","Type of Cattle","Region and County","UNIT","VALUE"
"Number of Cattle in June","2015","Total cattle","State","000 Head","6963.5"
"Number of Cattle in June","2015","Total cattle","Northern and Western","000 Head","1723.9"
"Number of Cattle in June","2015","Total cattle","Border","000 Head","793.6"
"Number of Cattle in June","2015","Total cattle","Leitrim","000 Head","65"
"Number of Cattle in June","2015","Total cattle","Sligo","000 Head","113.5"
"Number of Cattle in June","2015","Total cattle","Cavan","000 Head","223"
"Number of Cattle in June","2015","Total cattle","Donegal","000 Head","185.5"
"Number of Cattle in June","2015","Total cattle","Monaghan","000 Head","206.7"
"Number of Cattle in June","2015","Total cattle","West","000 Head","930.2"
"Number of Cattle in June","2015","Total cattle","Galway","000 Head","438.3"
"Number of Cattle in June","2015","Total cattle","Mayo","000 Head","281.5"
"Number of Cattle in June","2015","Total cattle","Roscommon","000 Head","210.5"
"Number of Cattle in June","2015","Total cattle","Southern","000 Head","3750.1"
"Number of Cattle in June","2015","Total cattle","Mid-West","000 Head","1358.3"
"Number of Cattle in June","2015","Total cattle","Clare","000 Head","286.4"
"Number of Cattle in June","2015","Total cattle","Limerick","000 Head","409"
"Number of Cattle in June","2015","Total cattle","Tipperary","000 Head","663"
"Number of Cattle in June","2015","Total cattle","South-East","000 Head","992.6"
"Number of Cattle in June","2015","Total cattle","Carlow","000 Head","100"
"Number of Cattle in June","2015","Total cattle","Kilkenny","000 Head","349.4"
"Number of Cattle in June","2015","Total cattle","Wexford","000 Head","285.3"
"Number of Cattle in June","2015","Total cattle","Waterford","000 Head","258"
"Number of Cattle in June","2015","Total cattle","South-West","000 Head","1399.1"
"Number of Cattle in June","2015","Total cattle","Cork","000 Head","1059.1"
"Number of Cattle in June","2015","Total cattle","Kerry","000 Head","340.1"
"Number of Cattle in June","2015","Total cattle","Eastern and Midland","000 Head","1489.6"
"Number of Cattle in June","2015","Total cattle","Dublin","000 Head","23"
"Number of Cattle in June","2015","Total cattle","Dublin and Mid-East","000 Head","678.5"
"Number of Cattle in June","2015","Total cattle","Kildare","000 Head","136.7"
"Number of Cattle in June","2015","Total cattle","Louth","000 Head","87.1"
"Number of Cattle in June","2015","Total cattle","Meath","000 Head","309.3"
"Number of Cattle in June","2015","Total cattle","Wicklow","000 Head","122.3"
"Number of Cattle in June","2015","Total cattle","Midland","000 Head","811.1"
"Number of Cattle in June","2015","Total cattle","Laois","000 Head","242.9"
"Number of Cattle in June","2015","Total cattle","Longford","000 Head","113.6"
"Number of Cattle in June","2015","Total cattle","Offaly","000 Head","233.6"
"Number of Cattle in June","2015","Total cattle","Westmeath","000 Head","221"
"Number of Cattle in June","2015","Cows","State","000 Head","2371.6"
"Number of Cattle in June","2015","Cows","Northern and Western","000 Head","574.5"
"Number of Cattle in June","2015","Cows","Border","000 Head","276.8"
"Number of Cattle in June","2015","Cows","Leitrim","000 Head","27.4"
"Number of Cattle in June","2015","Cows","Sligo","000 Head","39.9"
"Number of Cattle in June","2015","Cows","Cavan","000 Head","81.4"
"Number of Cattle in June","2015","Cows","Donegal","000 Head","60.9"
"Number of Cattle in June","2015","Cows","Monaghan","000 Head","67.2"
"Number of Cattle in June","2015","Cows","West","000 Head","297.7"
"Number of Cattle in June","2015","Cows","Galway","000 Head","136.5"
"Number of Cattle in June","2015","Cows","Mayo","000 Head","97.1"
"Number of Cattle in June","2015","Cows","Roscommon","000 Head","64"
"Number of Cattle in June","2015","Cows","Southern","000 Head","1364"
"Number of Cattle in June","2015","Cows","Mid-West","000 Head","463.1"
